State,Set 1,Count 1,Set 2,Count 2,Set 3,Count 3
Pondicherry,"53,67,60",3,"51,33,74,55,50,34,96",7,"12,05,02,08,06,14,13,01,09,11,10,03,64,07,04",15
Punjab,"15,14",2,"05,36,71,14,60,10,51,20,34,21,72,45,80,00,15,73,30,01,32,81,61,46,42,07,12,35,40,06,43,09,48,31,41,03,02,47,33,08,70,11,50,13,44,04",44,"05,57,36,26,14,59,60,50,56,10,49,22,51,20,34,21,16,45,25,15,30,01,32,19,46,07,42,28,12,61,35,52,06,18,13,43,40,29,09,38,48,24,54,23,31,41,17,39,02,47,33,08,53,55,37,11,58,27,03,44,04",61
Rajasthan,"33,30,32,34,31",5,"57,26,36,69,14,60,59,66,50,56,10,22,20,16,45,65,76,80,15,30,32,61,46,78,42,28,12,52,35,40,18,43,29,38,48,24,54,23,31,17,63,39,47,33,70,55,67,37,58,75,27,13,64,44",54,"05,26,36,14,50,10,62,49,22,20,51,34,21,16,45,65,25,15,73,30,01,32,19,46,07,42,28,12,61,35,52,06,40,13,43,29,18,09,38,74,48,24,54,23,31,41,17,39,02,47,63,33,08,55,53,11,37,27,03,64,44,04",62
Sikkim,73,1,71,1,"36,26,14,22,20,34,21,16,01,32,19,07,28,12,35,06,18,38,31,03,17,02,33,11,37,27,13",27
Tamil Nadu,"63,60,66,62,64,61",6,"91,84,14,66,62,93,72,65,86,32,81,82,46,35,18,29,48,24,54,17,70,77,89,44,00,69,68,59,10,49,21,25,96,42,28,94,52,98,74,40,38,85,47,97,90,67,58,50,95,36,26,60,22,20,79,16,45,76,80,15,73,01,99,43,63,53,11,75,27,64,57,71,56,51,34,30,88,92,61,78,12,83,23,31,41,02,33,87,55,37,13",91,"91,84,14,66,62,93,72,65,86,32,81,82,46,35,18,29,09,48,24,54,17,39,70,77,89,03,44,05,69,59,68,10,49,21,25,96,42,28,94,52,06,40,74,98,38,85,47,97,90,67,58,50,04,95,26,36,60,22,20,79,16,45,76,80,15,73,01,99,43,63,08,53,11,75,27,64,57,71,56,51,34,30,88,92,19,61,07,78,12,83,23,31,41,02,33,87,55,37,13",99
Tripura,79,1,"90,91,92",3,"05,57,71,69,14,59,60,56,10,62,49,51,22,79,20,21,45,75,65,25,86,15,73,30,01,32,88,19,61,07,46,42,12,78,89,52,35,06,13,43,09,48,85,23,31,41,63,02,47,08,70,90,87,55,53,11,58,77,50,03,64,44,04",63
Uttar Pradesh,"28,25,26,27,22,20,24,21,23",9,"91,14,62,93,72,32,81,46,35,18,29,24,54,17,70,77,03,44,00,05,10,49,21,25,96,42,28,94,52,40,06,98,74,47,97,90,67,50,04,95,26,36,60,22,20,16,45,76,80,15,73,01,43,63,53,11,75,27,64,71,51,34,30,88,92,61,19,78,12,23,31,41,02,33,55,37,13",77,"91,84,14,66,62,93,72,65,86,32,81,82,46,35,18,29,09,48,24,54,17,39,70,77,89,03,44,05,69,59,68,10,49,21,25,96,42,28,94,52,06,40,98,74,38,47,97,90,67,58,50,04,95,26,36,22,20,16,45,76,80,15,73,01,43,63,08,53,11,75,27,64,57,71,56,51,34,30,88,92,19,61,07,78,12,83,23,31,41,02,33,87,55,37,13",95
Uttaranchal,"24,26,27",3,"91,36,60,14,62,93,21,76,25,80,30,92,81,61,82,85,24,54,23,31,47,64",22,"91,84,14,66,62,93,72,65,86,32,81,82,46,35,29,09,48,24,54,17,39,70,77,89,03,44,05,69,59,68,10,49,21,25,96,42,28,94,52,40,74,06,38,85,47,97,67,58,50,04,95,36,26,60,22,79,20,16,45,76,80,15,73,01,99,43,63,08,53,11,75,27,64,57,71,56,51,34,30,88,92,61,19,07,78,12,83,23,31,41,02,33,87,55,37,13",96
West Bengal,"71,73,70,74,75,72",6,"26,36,14,62,22,51,34,21,16,45,25,00,15,32,61,42,12,52,35,43,29,24,23,31,41,33,53,55,11,37,27,13,44",33,"91,84,14,66,62,93,72,65,86,32,81,82,46,35,18,29,09,48,24,54,17,39,70,77,89,03,44,05,69,68,59,10,49,21,25,96,42,28,94,52,06,40,74,98,38,85,47,97,90,67,58,50,04,95,26,36,60,22,20,79,16,45,76,80,15,73,01,99,43,63,08,53,11,75,27,64,57,71,56,51,34,30,88,92,19,61,07,78,12,83,23,31,41,02,33,87,55,37,13",99
,,1,,1,,1
